models,f1 score for train,f1 score val,time,method
ovr_LogisticRegression,0.779644269,0.628544122,0 days 00:00:52.866882,count
ovr_SVM,0.885794458,0.638285875,0 days 00:09:07.450349,count
ovr_Naive,0.489793769,0.472894718,0 days 00:00:00.628145,count
BinaryRelevance_LogisticRegression,0.779644269,0.628762542,0 days 00:01:05.610841,count
BinaryRelevance_SVM,0.885794458,0.638285875,0 days 00:06:33.481347,count
BinaryRelevance_Naive,0.489793769,0.472894718,0 days 00:00:09.539741,count
ClassifierChain_LogisticRegression,0.789914703,0.636320829,0 days 00:01:08.989796,count
ClassifierChain_SVM,0.89069695,0.64286695,0 days 00:05:42.971805,count
ClassifierChain_Naive,0.502364345,0.485463443,0 days 00:00:08.890885,count
LabelPowerset_LogisticRegression,0.893167573,0.657925072,0 days 00:02:42.503781,count
LabelPowerset_SVM,0.994169193,0.647461893,0 days 00:03:52.075406,count
LabelPowerset_Naive,0.839945546,0.677794098,0 days 00:00:34.328123,count
MultiOutputClassifier_LogisticRegression,0.779644269,0.628544122,0 days 00:00:30.887775,count
MultiOutputClassifier_SVM,0.885794458,0.638285875,0 days 00:07:53.800755,count
MultiOutputClassifier_Naive,0.489793769,0.472894718,0 days 00:00:00.422061,count
ovr_LogisticRegression,0.306195927,0.306996771,0 days 00:00:10.635685,tfidf
ovr_SVM,0.305948095,0.306864644,0 days 00:00:08.097207,tfidf
ovr_Naive,0.232526346,0.236044657,0 days 00:00:00.149038,tfidf
BinaryRelevance_LogisticRegression,0.306195927,0.306996771,0 days 00:00:27.526911,tfidf
BinaryRelevance_SVM,0.305948095,0.306864644,0 days 00:05:03.286385,tfidf
BinaryRelevance_Naive,0.232526346,0.236044657,0 days 00:00:07.964750,tfidf
ClassifierChain_LogisticRegression,0.325893022,0.32409192,0 days 00:00:49.194978,tfidf
ClassifierChain_SVM,0.320852405,0.318161334,0 days 00:04:36.362623,tfidf
ClassifierChain_Naive,0.232526346,0.236044657,0 days 00:00:07.620183,tfidf
LabelPowerset_LogisticRegression,0.350756069,0.335637019,0 days 00:02:23.929363,tfidf
LabelPowerset_SVM,0.350954864,0.335887036,0 days 00:02:22.859530,tfidf
LabelPowerset_Naive,0.330170344,0.336231884,0 days 00:00:27.757945,tfidf
MultiOutputClassifier_LogisticRegression,0.306195927,0.306996771,0 days 00:00:09.067152,tfidf
MultiOutputClassifier_SVM,0.305948095,0.306864644,0 days 00:00:08.046919,tfidf
MultiOutputClassifier_Naive,0.232526346,0.236044657,0 days 00:00:00.118002,tfidf
